id;code;nom;adresse;telephone;fax;email;directeur;x;y;ville_id
1;R150;CF  CONFECTION FES;Fes;05 35 66 77 88;05 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;1;2;1
2;R151;CF  TAZA;Fes;06 35 66 77 88;06 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;2;3;1
3;R152;CF AL ADARISSA FES;Fes;07 35 66 77 88;07 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;3;4;1
4;R153;CF ALADARISSA FES (ISTA);Fes;08 35 66 77 88;08 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;4;5;1
5;R154;CF BAT FES (ISTA NARGIS);Fes;09 35 66 77 88;09 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;5;6;1
6;R155;CF BAT FES CF MET BAT FES;Fes;10 35 66 77 88;10 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;6;7;1
7;R156;CF BATIM FES(PL BOURKAIZ);Fes;11 35 66 77 88;11 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;7;8;1
8;R157;CF BATIMENT FES;Fes;12 35 66 77 88;12 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;8;9;1
9;R158;CF BATIMENT FES   (ISMTB);Fes;13 35 66 77 88;13 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;9;10;1
10;R159;CF BEN DABBAB FES;Fes;14 35 66 77 88;14 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;10;11;1
11;R160;CF BTP FES CF PL RAS ELMA;Fes;15 35 66 77 88;15 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;11;12;1
12;R161;CF BTP NARJIS (ISTA NARJIS);Fes;16 35 66 77 88;16 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;12;13;1
13;R162;CF CONF FES(ISTA B FTOUH);Fes;17 35 66 77 88;17 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;13;14;1
14;R163;CF CONFECTION FES (ISTA);Fes;18 35 66 77 88;18 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;14;15;1
15;R164;CF HAY ADARISSA (ISTA HAY ADARISSA);Fes;19 35 66 77 88;19 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;15;16;1
16;R165;CF IN.F.MET.LOG.TRANS FES;Fes;20 35 66 77 88;20 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;16;17;1
17;R166;CF M ATLAS    (ITA HAJEB);Fes;21 35 66 77 88;21 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;17;18;1
18;R167;CF M ATLAS   (ISTA AZROU);Fes;22 35 66 77 88;22 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;18;19;1
19;R168;CF M ATLAS  (ISTA IFRANE);Fes;23 35 66 77 88;23 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;19;20;1
20;R169;CF MEKNES;Fes;24 35 66 77 88;24 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;20;21;1
21;R170;CF MEKNES(CMIXTEFP SBABA);Fes;25 35 66 77 88;25 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;21;22;1
22;R171;CF P.JEUNES A. NOKBI FES;Fes;26 35 66 77 88;26 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;22;23;1
23;R172;CF QUAL METIER ARTISANAT;Fes;27 35 66 77 88;27 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;23;24;1
24;R173;CF QUAL/FEMME TOULAL MEKN;Fes;28 35 66 77 88;28 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;24;25;1
25;R174;CF R A MEKNES (ISTA);Fes;29 35 66 77 88;29 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;25;26;1
26;R175;CF R A MEKNES (ITA MY DZ);Fes;30 35 66 77 88;30 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;26;27;1
27;R176;CF R A MEKNES (ITA);Fes;31 35 66 77 88;31 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;27;28;1
28;R177;CF R IMOUZER FES (ISTA G);Fes;32 35 66 77 88;32 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;28;29;1
29;R178;CF RA MEKNES PL TOULAL 1;Fes;33 35 66 77 88;33 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;29;30;1
30;R179;CF ROUTE  AGOURAI MEKNES;Fes;34 35 66 77 88;34 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;30;31;1
31;R180;CF ROUTE AGOURAI MEKNES;Fes;35 35 66 77 88;35 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;31;32;1
32;R181;CF ROUTE AGOURAY MEKNES;Fes;36 35 66 77 88;36 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;32;33;1
33;R182;CF ROUTE DE FES;Fes;37 35 66 77 88;37 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;33;34;1
34;R183;CF ROUTE IMOUZZER FES;Fes;38 35 66 77 88;38 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;34;35;1
35;R184;CF RTE AG (ISTA);Fes;39 35 66 77 88;39 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;35;36;1
36;R185;CF RTE AG.MEKNES CFM.BAT;Fes;40 35 66 77 88;40 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;36;37;1
37;R186;CF RTE FES ISTA AV FAR ME;Fes;41 35 66 77 88;41 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;37;38;1
38;R187;CF RTE FES ISTA OUISLANE;Fes;42 35 66 77 88;42 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;38;39;1
39;R188;CF RTE IMOUZER FES(ISTA);Fes;43 35 66 77 88;43 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;39;40;1
40;R189;CF RTE IMOUZER FES(ITA);Fes;44 35 66 77 88;44 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;40;41;1
41;R190;CF SEFROU;Fes;45 35 66 77 88;45 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;41;42;1
42;R191;CF SEFROU (CQP);Fes;46 35 66 77 88;46 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;42;43;1
43;R192;CF SEFROU (ISTA);Fes;47 35 66 77 88;47 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;43;44;1
44;R193;CF SOC FES (CDH A KADOUS);Fes;48 35 66 77 88;48 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;44;45;1
45;R194;CF SOCIAL FES;Fes;49 35 66 77 88;49 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;45;46;1
46;R195;CF SOCIAL FES (C P ARTIS);Fes;50 35 66 77 88;50 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;46;47;1
47;R196;CF SOCIAL FES (ISFOMAS);Fes;51 35 66 77 88;51 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;47;48;1
48;R197;CF SOCIAL FES CF QU FEMME;Fes;52 35 66 77 88;52 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;48;49;1
49;R198;CF TAOUNATE;Fes;53 35 66 77 88;53 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;49;50;1
50;R199;CF TAOUNATE (CF PL);Fes;54 35 66 77 88;54 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;50;51;1
51;R200;CF TAOUNATE (ISTA KARIA);Fes;55 35 66 77 88;55 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;51;52;1
52;R201;CF TAOUNATE (ISTA);Fes;56 35 66 77 88;56 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;52;53;1
53;R202;CF TAZA (ISTA);Fes;57 35 66 77 88;57 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;53;54;1
54;R203;CF TAZA (ITA);Fes;58 35 66 77 88;58 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;54;55;1
55;R204;CF TAZA(CF ART CULINAIRE);Fes;59 35 66 77 88;59 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;55;56;1
56;R205;CFMEKNES(ISTA G B TIZIMI);Fes;60 35 66 77 88;60 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;56;57;1
57;R206;CTE DE DEVE HUMAIN AIN KADDOUS FES;Fes;61 35 66 77 88;61 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;57;58;1
58;R207;CTR FOR ET ENC.ENFANT FES;Fes;62 35 66 77 88;62 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;58;59;1
59;R208;ESPACE MOBILE Nø3;Fes;63 35 66 77 88;63 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;59;60;1
60;R209;ESPACE MOBILE Nø8;Fes;64 35 66 77 88;64 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;60;61;1
61;R210;IFMOTICA FES;Fes;65 35 66 77 88;65 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;61;62;1
62;R211;INS.INDUST.AGRALIMEN.MEKN;Fes;66 35 66 77 88;66 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;62;63;1
63;R212;ISTA MISSOUR;Fes;67 35 66 77 88;67 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;63;64;1
64;R213;ISTHT MEKNES;Fes;68 35 66 77 88;68 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;64;65;1
65;R214;PRD CF TAZA  PL;Fes;69 35 66 77 88;69 35 77 88099;adilkhalki@gmail.com;Adil KHALKI;65;66;1
